word,freq
amalfi,33
currents,605
surcos,2
smurfie,1
friges,1
ah-1w,36
misogamist,1
sausagey,3
contentsin,2
jingoist,1
enveloped,428
Lukan,1
minicomputers,1
substitute,529
mintel,1
metteur,1
lilike,4
mcavoys,3
whhsssh,1
sapienhegemony,1
steelton,2
paintedsaint,1
lousiness,1
tomatogravy,1
statantand,1
pipecleaners,1
sunvibrant,1
napper,8
annihilators,1
disclosing,32
noways,2
redneck,154
x3,21
bbeeeenn,3
wunderbaar,7
connipted,1
extra,5131
hsup,1
perkiest,3
prova,2
ortese,1
temperatureadaptive,1
300s,1
soundboard,9
carrots,539
thinkabout,1
krithians,3
pressor,1
vergons,2
Petros,42
maumilam,2
uhaerodynamics,1
austenesque,1
bioelectronic,2
hyaaah,1
Seko,2
7622,4
Ferryman,12
rout,62
albrite,1
cleaves,17
fiendishly,32
adopters,5
fulci,1
hashtagging,1
wilful,10
glowery,1
strips,928
groundbreaker,2
remsigne,2
maclintick,1
quetzlcoatl,1
strakov,3
"225,745",1
popinjay,5
Batsheva,43
cartonsomething,1
presumptuousness,8
rating,171
gaian,54
burglary,192
l'he,5
25;2311;toolong,1
epistemologies,3
netpuppets,23
statendaam,2
ledo,1
undefinably,1
28216,4
Timms,77
wifehad,1
20/102,2
asparagusthis,1
drawtube,1
yesiiiiii,1
skraeling,3
mucous,62
encourage,705
dnpeu,1
Bexley,1
bratva,6
oneon,5
Vanis,5
blindsightedness,1
puede,23
koptos,5
castagnetto,2
rosaparks,1
thunderingly,3
fidgeted,249
shareeternity,1
agold,1
mcbelz,1
uncorruption,1
conexin,1
stockpiled,36
portersville,1
bluebottles,13
clongs,1
rezayev,1
essentialize,2
knuckleroots,1
faroe,7
wheelbarrowwere,1
bassington,2
Zoey,211
campert,1
zygomati,1
dittie,1
peerlessly,1
railbed,7
bumbry,1
fik,1
haed,2
kiwng,1
1/5,1
hookers,188
unsunderable,1
giantess,24
cornea,39
quaich,1
p192,144
Ming,165
newspapermen,12
