"word","frequency","level"
"a",21811,1
"a's",1,1
"aaron",0,1
"ab",0,1
"abandon",0,1
"abandoned",0,1
"abandoning",0,1
"abbey",0,1
"abbot",0,1
"abbott",0,1
"abbreviated",0,1
"abbreviation",0,1
"abbreviations",0,1
"abdomen",0,1
"abdominal",0,1
"abe",8,1
"abide",0,1
"abigail",0,1
"abilities",0,1
"ability",0,1
"able",69,1
"abnormal",0,1
"abnormalities",0,1
"abnormally",0,1
"aboard",6,1
"abode",1,1
"abolish",0,1
"abolished",0,1
"abolition",0,1
"abolitionist",0,1
"abolitionists",0,1
"aborigines",0,1
"abortion",0,1
"abortions",0,1
"abound",0,1
"about",1862,1
"above",82,1
"abraham",0,1
"abrasive",0,1
"abreast",0,1
"abroad",0,1
"abrupt",0,1
"abruptly",0,1
"absence",1,1
"absences",0,1
"absent",0,1
"absolute",0,1
"absolutely",0,1
"absorb",0,1
"absorbed",0,1
"absorbing",0,1
"absorbs",0,1
"absorption",0,1
"abstract",0,1
"absurd",0,1
"abu",15,1
"abundance",0,1
"abundant",0,1
"abuse",0,1
"abused",0,1
"abuses",0,1
"abyss",0,1
"academic",0,1
"academy",1,1
"accelerate",0,1
"accelerated",0,1
"accelerating",0,1
"acceleration",0,1
"accelerator",0,1
"accent",0,1
"accept",0,1
"acceptable",0,1
"acceptance",0,1
"accepted",0,1
"accepting",0,1
"accepts",0,1
"access",0,1
"accessible",0,1
"accessories",0,1
"accident",8,1
"accidental",0,1
"accidentally",0,1
"accidents",1,1
"accommodate",0,1
"accommodation",0,1
"accompanied",0,1
"accompanies",0,1
"accompaniment",0,1
"accompany",0,1
"accompanying",0,1
"accomplish",0,1
"accomplished",0,1
"accomplishing",0,1
"accomplishment",0,1
"accomplishments",0,1
"accord",0,1
"accordance",0,1
"accorded",0,1
"according",0,1
"accordingly",0,1
"account",1,1
"accountability",0,1
"accountant",0,1
"accountants",0,1
"accounted",0,1
"accounting",0,1
"accounts",0,1
"accumulate",0,1
"accumulated",0,1
"accumulates",0,1
"accumulating",0,1
"accumulation",0,1
"accuracy",0,1
"accurate",1,1
"accurately",0,1
"accusation",0,1
"accused",0,1
"accusing",0,1
"accustomed",0,1
"ace",0,1
"acetate",0,1
"ache",6,1
"ached",0,1
"aches",2,1
"achieve",0,1
"achieved",0,1
"achievement",0,1
"achievements",0,1
"achieving",0,1
"achilles",0,1
"aching",0,1
"acid",0,1
"acidic",0,1
"acids",0,1
"acknowledge",0,1
"acknowledged",0,1
"acknowledging",0,1
"acorn",0,1
"acorns",1,1
"acquaintance",0,1
"acquaintances",0,1
"acquainted",0,1
"acquire",0,1
"acquired",0,1
"acquires",0,1
"acquiring",0,1
"acquisition",0,1
"acre",3,1
"acres",4,1
"across",255,1
"act",27,1
"acted",13,1
"acting",7,1
"action",16,1
"actions",0,1
"activated",0,1
"active",0,1
"actively",0,1
"activities",0,1
"activity",0,1
"actor",11,1
"actors",2,1
"actress",0,1
"acts",5,1
"actual",0,1
"actually",3,1
"acute",0,1
"acutely",0,1
"ad",10,1
"ada",0,1
"adam",36,1
"adam's",0,1
"adams",2,1
"adapt",0,1
"adaptability",0,1
"adaptable",0,1
"adaptation",0,1
"adaptations",0,1
"adapted",0,1
"adapting",0,1
"adaptive",0,1
"add",46,1
"added",37,1
"addiction",0,1
"addicts",0,1
"adding",0,1
"addition",0,1
"additional",0,1
"additions",0,1
"additives",0,1
"address",17,1
"addressed",0,1
"addresses",0,1
"addressing",0,1
"adds",10,1
"adept",0,1
"adequate",0,1
"adequately",0,1
"adhere",0,1
"adherence",0,1
"adhesive",0,1
"adjacent",0,1
"adjective",0,1
"adjectives",0,1
"adjoining",0,1
"adjust",0,1
"adjustable",0,1
"adjusted",0,1
"adjusting",0,1
"adjustment",0,1
"adjustments",0,1
"administer",0,1
"administered",0,1
"administering",0,1
"administration",0,1
"administrative",0,1
"administrator",0,1
"administrators",0,1
"admirable",0,1
"admiral",1,1
"admiration",0,1
"admire",0,1
"admired",0,1
"admirers",0,1
"admiring",0,1
"admission",0,1
"admit",3,1
"admitted",0,1
"admitting",0,1
"adobe",0,1
"adolescence",0,1
"adolescent",0,1
"adolescents",0,1
"adolf",0,1
"adopt",3,1
"adopted",1,1
"adopting",2,1
"adoption",0,1
"adorned",0,1
"adrenal",0,1
"ads",2,1
"adult",1,1
"adulthood",0,1
"adults",0,1
"advance",0,1
"advanced",0,1
"advancement",0,1
"advances",0,1
"advancing",0,1
"advantage",0,1
"advantageous",0,1
"advantages",0,1
"advent",0,1
"adventure",6,1
"adventurer",0,1
"adventurers",0,1
"adventures",0,1
"adventurous",0,1
"adverb",2,1
"adverbs",2,1
"adversary",0,1
"adverse",0,1
"advertise",0,1
"advertised",0,1
"advertisement",0,1
"advertisements",0,1
"advertisers",0,1
"advertising",0,1
"advice",6,1
"advisable",0,1
"advise",0,1
"advised",0,1
"adviser",0,1
"advisers",0,1
"advises",0,1
"advising",0,1
"advisor",0,1
"advisors",0,1
"advisory",0,1
"advocate",0,1
"advocated",0,1
"advocates",0,1
"aegean",0,1
"aerial",0,1
"aerin",0,1
"aerobic",0,1
"aeronautics",0,1
"aesthetic",0,1
"afar",1,1
"affair",0,1
"affairs",0,1
"affect",0,1
"affected",0,1
"affecting",0,1
"affection",0,1
"affectionate",0,1
"affectionately",0,1
"affective",0,1
"affects",0,1
"affiliation",0,1
"affirm",0,1
"affirmative",0,1
"afflicted",0,1
"affluence",0,1
"affluent",0,1
"afford",0,1
"afforded",0,1
"affords",0,1
"afghanistan",0,1
"afloat",0,1
"afraid",337,1
"africa",3,1
"africa's",0,1
"african",0,1
"africans",3,1
"aft",0,1
"after",986,1
"afternoon",99,1
"afternoons",0,1
"afterward",3,1
"afterwards",1,1
"again",1035,1
"against",73,1
"agamemnon",0,1
"agatha",0,1
"agba",0,1
"age",29,1
"age-old",0,1
"aged",0,1
"agencies",0,1
"agency",1,1
"agenda",0,1
"agent",7,1
"agents",1,1
"ages",0,1
"aggregate",0,1
"aggression",0,1
"aggressive",0,1
"aggressively",0,1
"agile",0,1
"aging",0,1
"agitated",0,1
"agitation",0,1
"agnes",0,1
"ago",134,1
"agonizing",1,1
"agony",0,1
"agrarian",0,1
"agree",8,1
"agreeable",0,1
"agreed",18,1
"agreeing",0,1
"agreement",0,1
"agreements",0,1
"agrees",0,1
"agricultural",0,1
"agriculture",0,1
"ah",33,1
"aha",1,1
"ahead",67,1
"aid",1,1
"aide",0,1
"aided",0,1
"aides",0,1
"aiding",0,1
"aids",0,1
"ailment",0,1
"ailments",0,1
"aim",0,1
"aimed",3,1
"aiming",1,1
"aimlessly",0,1
"aims",0,1
"ain't",8,1
"air",314,1
"air-conditioned",0,1
"airborne",0,1
"aircraft",0,1
"aires",0,1
"airfield",0,1
"airline",0,1
"airlines",0,1
"airplane",87,1
"airplanes",11,1
"airport",12,1
"airports",0,1
"airship",0,1
"airtight",0,1
"airways",0,1
"airy",0,1
"aisle",3,1
"aisles",0,1
"ajar",0,1
"akin",0,1
"al",227,1
"al's",16,1
"alabama",0,1
"aladdin",0,1
"alamo",0,1
"alan",61,1
"alarm",5,1
"alarmed",0,1
"alarming",0,1
"alarms",0,1
"alas",0,1
"alaska",6,1
"alaskan",0,1
"albany",0,1
"albert",77,1
"alberta",1,1
"album",0,1
"albums",0,1
"alcohol",0,1
"alcoholic",0,1
"alcoholics",0,1
"alcoholism",0,1
"aldrin",0,1
"ale",0,1
"alec",0,1
"alec's",0,1
"alert",0,1
"alerted",0,1
"alertness",0,1
"alex",44,1
"alexander",3,1
"alexander's",0,1
"alexandra",1,1
"alexandria",0,1
"alf",36,1
"alfalfa",0,1
"alfred",0,1
"algae",0,1
"algebra",0,1
"algeria",0,1
"ali",1,1
"alice",20,1
"alice's",5,1
"alien",1,1
"alienated",0,1
"alienation",0,1
"aliens",0,1
"alight",0,1
"aligned",0,1
"alignment",0,1
"alike",54,1
"alison",13,1
"alive",29,1
"alkali",0,1
"alkaline",0,1
"all",3931,1
"all-important",0,1
"all-powerful",0,1
"allah",0,1
"allan",1,1
"alleged",0,1
"allegheny",0,1
"allegiance",0,1
"allen",28,1
"allergic",0,1
"allergies",0,1
"allergy",0,1
"alley",15,1
"alleys",0,1
"alliance",0,1
"alliances",0,1
"allied",0,1
"allies",0,1
"alligator",25,1
"alligators",0,1
"allison",0,1
"allocated",0,1
"allocation",0,1
"allotted",0,1
"allow",0,1
"allowance",1,1
"allowances",0,1
"allowed",6,1
"allowing",0,1
"allows",0,1
"alloy",0,1
"alloys",0,1
"ally",0,1
"alma",26,1
"almanac",0,1
"almanzo",0,1
"almighty",0,1
"almost",176,1
"aloft",0,1
"alone",210,1
"along",302,1
"alongside",2,1
"aloof",0,1
"aloud",3,1
"alpha",2,1
"alphabet",3,1
"alphabetical",0,1
"alphabetically",0,1
"alpine",0,1
"alps",0,1
"already",114,1
"also",160,1
"altar",0,1
"alter",0,1
"alteration",0,1
"alterations",0,1
"altered",0,1
"altering",0,1
"alternate",0,1
"alternately",0,1
"alternating",0,1
"alternative",0,1
"alternatives",0,1
"alters",0,1
"although",3,1
"altitude",0,1
"altitudes",0,1
"altogether",0,1
"aluminium",0,1
"aluminum",0,1
"alva",0,1
"alvin",20,1
"always",407,1
"am",1115,1
"amanda",13,1
"amateur",0,1
"amateurs",0,1
"amazed",1,1
"amazement",0,1
"amazing",1,1
"amazingly",0,1
"amazon",2,1
"ambassador",0,1
"ambassadors",0,1
"amber",0,1
"ambiguity",0,1
"ambiguous",0,1
"ambition",0,1
"ambitions",0,1
"ambitious",0,1
"ambrose",0,1
"ambulance",4,1
"ambush",0,1
"amelia",64,1
"amended",0,1
"amendment",0,1
"amendments",0,1
"america",33,1
"america's",0,1
"american",11,1
"americans",2,1
"americas",0,1
"ames",0,1
"amiable",0,1
"amid",0,1
"amidst",0,1
"amino",0,1
"amish",0,1
"ammonia",0,1
"ammonium",0,1
"ammunition",0,1
"among",13,1
"amongst",0,1
"amos",0,1
"amount",0,1
"amounted",0,1
"amounts",0,1
"amphibians",0,1
"ample",0,1
"amplified",0,1
"amplitude",0,1
"amsterdam",0,1
"amundsen",0,1
"amuse",0,1
"amused",0,1
"amusement",0,1
"amusing",0,1
"amy",68,1
"amy's",22,1
"an",866,1
"an'",0,1
"ana",74,1
"analogous",0,1
"analogy",0,1
"analyses",0,1
"analysis",0,1
"analyst",0,1
"analysts",0,1
"analytical",0,1
"analyze",0,1
"analyzed",0,1
"analyzing",0,1
"ananse",26,1
"anansi",28,1
"anatomical",0,1
"anatomy",1,1
"ancestor",0,1
"ancestors",0,1
