unique_words,frequency_tasa,frequency_tidy,combined_frequency,average_per_million,sampling_probability_per_million,sampling_probability
a,64863.0,5373.0,70236.0,27710.44408673421,0.02771044408673421,0.02771044408673421
aaron,9.0,0.0,9.0,3.5508001136256033,3.550800113625603e-06,3.5508001136256035e-06
ab,0.0,0.0,0.0,0.0,0.0,0.0
abandon,0.0,1.0,1.0,0.3945333459584004,3.945333459584004e-07,3.945333459584004e-07
abandoned,5.0,0.0,5.0,1.9726667297920022,1.972666729792002e-06,1.972666729792002e-06
abandoning,0.0,0.0,0.0,0.0,0.0,0.0
abbey,0.0,0.0,0.0,0.0,0.0,0.0
abbot,2.0,0.0,2.0,0.7890666919168008,7.890666919168008e-07,7.890666919168008e-07
abbott,0.0,0.0,0.0,0.0,0.0,0.0
abbreviated,0.0,0.0,0.0,0.0,0.0,0.0
abbreviation,0.0,0.0,0.0,0.0,0.0,0.0
abbreviations,0.0,0.0,0.0,0.0,0.0,0.0
abdomen,1.0,0.0,1.0,0.3945333459584004,3.945333459584004e-07,3.945333459584004e-07
abdominal,0.0,0.0,0.0,0.0,0.0,0.0
abe,27.0,0.0,27.0,10.65240034087681,1.065240034087681e-05,1.065240034087681e-05
abide,0.0,0.0,0.0,0.0,0.0,0.0
abigail,4.0,2.0,6.0,2.3672000757504024,2.3672000757504025e-06,2.3672000757504025e-06
abilities,0.0,0.0,0.0,0.0,0.0,0.0
ability,7.0,0.0,7.0,2.761733421708803,2.761733421708803e-06,2.761733421708803e-06
able,451.0,22.0,473.0,186.6142726383234,0.0001866142726383234,0.0001866142726383234
abnormal,0.0,0.0,0.0,0.0,0.0,0.0
abnormalities,0.0,0.0,0.0,0.0,0.0,0.0
abnormally,0.0,0.0,0.0,0.0,0.0,0.0
aboard,31.0,7.0,38.0,14.992267146419215,1.4992267146419215e-05,1.4992267146419215e-05
abode,1.0,0.0,1.0,0.3945333459584004,3.945333459584004e-07,3.945333459584004e-07
abolish,0.0,0.0,0.0,0.0,0.0,0.0
abolished,0.0,0.0,0.0,0.0,0.0,0.0
abolition,0.0,0.0,0.0,0.0,0.0,0.0
abolitionist,0.0,0.0,0.0,0.0,0.0,0.0
abolitionists,0.0,0.0,0.0,0.0,0.0,0.0
aborigines,0.0,0.0,0.0,0.0,0.0,0.0
abortion,0.0,0.0,0.0,0.0,0.0,0.0
abortions,0.0,0.0,0.0,0.0,0.0,0.0
abound,0.0,0.0,0.0,0.0,0.0,0.0
about,7433.0,401.0,7834.0,3090.7742322381087,0.0030907742322381086,0.0030907742322381086
above,433.0,33.0,466.0,183.8525392166146,0.00018385253921661458,0.00018385253921661458
abraham,3.0,0.0,3.0,1.1836000378752012,1.1836000378752013e-06,1.1836000378752013e-06
abrasive,0.0,0.0,0.0,0.0,0.0,0.0
abreast,0.0,0.0,0.0,0.0,0.0,0.0
abroad,1.0,2.0,3.0,1.1836000378752012,1.1836000378752013e-06,1.1836000378752013e-06
abrupt,0.0,0.0,0.0,0.0,0.0,0.0
abruptly,10.0,0.0,10.0,3.9453334595840044,3.945333459584004e-06,3.945333459584004e-06
absence,2.0,0.0,2.0,0.7890666919168008,7.890666919168008e-07,7.890666919168008e-07
absences,0.0,0.0,0.0,0.0,0.0,0.0
absent,0.0,0.0,0.0,0.0,0.0,0.0
absolute,2.0,1.0,3.0,1.1836000378752012,1.1836000378752013e-06,1.1836000378752013e-06
absolutely,23.0,43.0,66.0,26.039200833254426,2.6039200833254428e-05,2.6039200833254428e-05
absorb,1.0,0.0,1.0,0.3945333459584004,3.945333459584004e-07,3.945333459584004e-07
absorbed,2.0,0.0,2.0,0.7890666919168008,7.890666919168008e-07,7.890666919168008e-07
absorbing,0.0,0.0,0.0,0.0,0.0,0.0
absorbs,0.0,0.0,0.0,0.0,0.0,0.0
absorption,0.0,0.0,0.0,0.0,0.0,0.0
abstract,0.0,0.0,0.0,0.0,0.0,0.0
absurd,1.0,0.0,1.0,0.3945333459584004,3.945333459584004e-07,3.945333459584004e-07
